,City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed
0,Setermoen,NO,68.86,48.2,93,75,4.7
1,Umm Lajj,SA,25.02,96.83,47,0,19.26
2,Punta Arenas,CL,-53.16,33.91,100,40,19.46
3,Bluff,NZ,-46.6,43.73,100,92,6.17
4,Kapaa,US,22.08,74.07,83,20,7.29
5,Asilah,MA,35.47,77.0,65,20,11.41
6,Fortuna,US,40.6,54.73,87,90,10.29
7,Vaini,TO,-21.2,71.6,94,20,4.7
8,Yellowknife,CA,62.45,68.0,52,75,9.17
9,Todos Santos,MX,23.45,72.77,64,20,6.93
10,Ixtapa,MX,20.71,78.8,94,75,2.48
11,Ribeira Grande,PT,38.52,75.2,73,20,5.82
12,Bastrop,US,32.78,83.01,88,90,9.17
13,Longyearbyen,SJ,78.22,44.6,65,75,8.05
14,Jamestown,SH,-15.94,70.82,100,32,17.13
15,Pevek,RU,69.7,39.95,72,0,4.61
16,Champerico,GT,14.3,82.4,74,40,6.93
17,Rikitea,PF,-23.12,72.98,100,56,7.4
18,Chandur Bazar,IN,21.24,87.47,66,44,2.37
19,Balkanabat,TM,39.51,89.99,21,56,4.16
20,Acapulco,MX,16.86,82.4,78,75,2.24
21,Thunder Bay,CA,48.41,60.8,63,5,8.05
22,Barsovo,RU,61.17,62.6,82,40,8.95
23,Faanui,PF,-16.48,78.11,100,92,16.58
24,Axim,GH,4.87,79.91,95,48,13.33
25,Saskylakh,RU,71.97,56.24,84,88,15.01
26,Atuona,PF,-9.8,81.08,99,56,14.0
27,Albany,AU,-35.02,50.03,93,76,4.61
28,Saint-Augustin,CA,45.63,60.17,44,20,6.93
29,Ushuaia,AR,-54.81,30.2,86,90,26.4
30,Kaitangata,NZ,-46.28,36.26,78,68,4.05
31,Sisimiut,GL,66.94,36.98,94,56,1.14
32,Butaritari,KI,3.07,83.6,100,88,7.74
33,Imbituba,BR,-28.24,73.4,46,0,8.05
34,Hilo,US,19.71,54.68,73,1,6.93
35,Rajanpur,PK,29.1,89.09,50,0,1.59
36,Barrow,US,39.51,74.1,88,90,11.41
37,Chokurdakh,RU,70.62,42.29,82,0,4.38
38,Palmer,US,61.6,58.44,71,40,6.93
39,Grand-Santi,GF,4.27,80.45,83,32,2.59
40,Hermanus,ZA,-34.42,61.01,61,8,14.0
41,Mahebourg,MU,-20.41,75.2,83,75,6.93
42,Boguchany,RU,58.38,68.12,55,20,5.61
43,Provideniya,RU,64.42,38.24,100,76,3.94
44,Kampene,CD,-3.59,80.27,54,56,2.48
45,Meulaboh,ID,4.14,80.36,100,44,3.49
46,Nabire,ID,-3.36,69.2,96,56,1.81
47,Port Alfred,ZA,-33.59,70.37,63,0,8.52
48,Auki,SB,-8.77,78.47,100,24,8.19
49,Teya,RU,60.37,57.59,84,56,5.73
50,Cerritos,MX,20.89,59.0,77,90,7.52
51,Sao Filipe,CV,14.9,75.68,91,0,12.77
52,Hami,CN,42.84,77.84,49,8,5.39
53,Saldanha,ZA,-33.01,59.0,87,88,13.87
54,Touros,BR,-5.2,83.96,68,76,17.69
55,Dikson,RU,73.51,35.99,84,0,19.48
56,Camacha,PT,33.08,70.81,73,75,12.75
57,Svetlogorsk,RU,53.14,68.0,32,75,17.9
58,Victoria,SC,-4.62,78.8,88,75,9.17
59,Luxor,EG,25.7,103.85,15,0,13.33
60,Hasaki,JP,35.73,65.25,100,40,1.12
61,Puerto Ayora,EC,-0.74,77.0,65,20,16.11
62,Lorengau,PG,-2.02,80.54,100,48,4.5
63,Pareora,NZ,-44.49,26.63,100,0,2.71
64,Tuktoyaktuk,CA,69.44,39.2,93,90,5.82
65,Bethel,US,60.79,50.0,93,90,4.7
66,Lebu,CL,-37.62,52.73,100,44,7.85
67,Chornoliztsi,UA,48.84,82.4,58,75,11.18
68,Vestmannaeyjar,IS,63.44,48.2,100,90,17.22
69,Conde,BR,-11.81,79.73,79,68,10.98
70,Gigmoto,PH,13.78,77.48,100,56,6.96
71,Sorland,NO,67.67,47.08,93,75,13.87
72,Flinders,AU,-34.58,42.8,93,0,4.7
73,Ketchikan,US,55.34,54.18,93,90,5.82
74,Busselton,AU,-33.64,58.31,100,48,4.94
75,Cayenne,GF,4.94,84.2,74,92,6.93
76,Bredasdorp,ZA,-34.53,69.8,28,0,16.11
77,East London,ZA,-33.02,64.4,72,0,3.36
78,Nikolskoye,RU,59.7,60.8,87,90,6.71
79,Cherskiy,RU,68.75,46.61,80,0,2.15
80,Hithadhoo,MV,-0.6,83.51,100,0,5.61
81,Bundaberg,AU,-24.87,64.34,100,24,15.57
82,Esperance,AU,-33.86,44.18,83,12,3.94
83,Souillac,MU,-20.52,75.2,83,75,6.93
84,Aklavik,CA,68.22,56.79,71,75,9.17
85,Bilma,NE,18.69,98.99,22,100,11.88
86,Southbridge,NZ,-43.81,28.4,100,0,3.36
87,Kati,ML,12.75,98.6,37,20,10.29
88,Coihaique,CL,-45.58,38.57,60,40,10.29
89,Bathsheba,BB,13.22,78.8,88,75,20.8
90,Cidreira,BR,-30.17,75.5,65,0,15.46
91,Richards Bay,ZA,-28.77,70.91,70,0,8.86
92,Hamilton,BM,32.3,82.4,69,20,20.8
93,Dunedin,NZ,-45.87,22.76,80,0,4.94
94,Saint George,BM,32.38,82.4,69,20,20.8
95,Arraial do Cabo,BR,-22.97,80.6,69,0,9.17
96,Marienburg,SR,5.88,83.39,78,40,4.7
97,Kodiak,US,39.95,64.4,93,90,13.87
98,Longonjo,AO,-12.91,76.49,20,0,4.16
99,Prince Albert,CA,53.2,73.4,53,75,5.82
100,Iralaya,HN,15.0,86.0,74,40,6.62
101,Viedma,AR,-40.81,51.11,41,0,25.75
102,Broome,AU,-17.97,68.0,45,0,6.93
103,Bilibino,RU,68.06,51.38,84,0,2.15
104,Georgetown,SH,-7.93,78.11,100,12,19.48
105,New Norfolk,AU,-42.78,41.0,80,40,9.17
106,Tiksi,RU,71.64,48.32,70,76,4.05
107,Avarua,CK,-21.21,73.4,83,20,5.82
108,Salinopolis,BR,-0.61,84.68,91,8,13.22
109,Yanam,IN,16.73,86.84,68,80,10.65
110,Yebaishou,CN,41.4,67.04,44,0,7.63
111,Tahta,EG,26.77,99.8,23,0,11.21
112,Havoysund,NO,71.0,46.4,93,75,4.7
113,Harper,LR,4.38,79.55,100,76,13.67
114,Prince Rupert,CA,54.32,53.6,100,90,3.36
115,Coquimbo,CL,-29.95,50.0,100,40,3.36
116,Huarmey,PE,-10.07,67.22,63,0,3.38
117,Koungou,YT,-12.73,78.8,74,20,8.05
118,Port Lincoln,AU,-34.72,47.33,100,0,4.83
119,Margate,ZA,-30.86,72.62,71,0,19.82
120,Qaanaaq,GL,77.48,31.22,100,12,2.93
121,Zavoronezhskoye,RU,52.88,77.39,43,0,13.11
122,Lompoc,US,34.64,54.86,100,90,0.47
123,Shingu,JP,33.72,71.45,95,32,8.63
124,Klaksvik,FO,62.23,51.8,62,0,14.99
125,Thompson,CA,55.74,73.4,53,20,5.82
126,Paamiut,GL,61.99,38.69,93,92,30.56
127,Lewiston,US,44.1,71.29,43,40,10.29
128,Khatanga,RU,71.98,59.21,74,92,15.01
129,Sholokhove,UA,47.69,84.32,42,0,4.27
130,Ilulissat,GL,69.22,41.0,65,75,4.7
131,Piastow,PL,52.18,89.6,33,0,12.75
132,Alamos,MX,27.02,82.88,57,0,2.93
133,Cape Town,ZA,-33.93,59.0,72,75,5.82
134,Rio Gallegos,AR,-51.62,33.8,74,0,21.92
135,Reconquista,AR,-29.14,71.18,73,92,6.17
136,Talnakh,RU,69.49,54.8,90,92,2.59
137,Raul Soares,BR,-20.1,67.49,83,44,5.17
138,Constitucion,MX,23.99,66.2,72,20,3.36
139,Upington,ZA,-28.46,69.8,16,0,4.5
140,Dawson Creek,CA,55.76,68.0,68,40,2.24
141,Beringovskiy,RU,63.05,39.14,100,80,3.71
142,Isangel,VU,-19.55,72.44,100,48,13.78
143,Niltepec,MX,16.57,83.96,60,32,12.55
144,Campos Belos,BR,-13.04,82.52,51,0,11.21
145,Canatlan,MX,24.52,66.2,72,20,3.36
146,Tuatapere,NZ,-46.13,34.46,100,8,1.92
147,Mehamn,NO,71.03,46.31,81,75,10.29
148,Dwarka,IN,28.58,100.4,35,40,8.05
149,Dawei,MM,14.07,74.06,98,92,2.15
150,La Ronge,CA,55.1,78.8,47,75,10.29
151,Port Elizabeth,ZA,-33.92,68.0,37,0,9.17
152,Buncrana,IE,55.13,60.8,55,75,16.11
153,Uaua,BR,-9.84,77.84,72,0,8.75
